listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,last_review,reviews_per_month,calculated_host_listings_count,availability_365
233839,Double bedroom in central Edinburgh,992589,Angie,Drylaw,55.96369517,-3.248086333,Private room,25,2,03/11/2018,3.69,1,278
241054,Luxury DoubleRoom- private bathroom,1264756,Susan,Easter Road and Hawkhill Avenue,55.96149557,-3.163079829,Private room,40,3,19/09/2018,2.12,3,323
241511,HOME-FROM-HOME - Tranquil city centre room for 1-5,1267059,David,Broughton South,55.96487685,-3.18813848,Private room,34,1,26/10/2018,2.02,1,248
243941,Apartment In The Heart Of Scotland,1280035,Benedetto,Trinity East and The Dudleys,55.97463543,-3.187274356,Entire home/apt,115,2,28/08/2018,1.05,2,341
247902,Luxury Waterfront Apartment ( blue),1297674,Waterfront,North Leith and Newhaven,55.98084971,-3.192997293,Entire home/apt,349,2,29/10/2018,0.41,2,353
252204,Spacious & Stylish One Bedroom Apartment,1323368,Mal,Granton West and Salvesen,55.97647106,-3.254182756,Entire home/apt,95,2,20/08/2018,0.85,1,276
256783,Double Room in Central Edinburgh. Private Shower,273097,Lyn,Newington and Dalkeith Road,55.94047625,-3.178394811,Private room,45,2,11/11/2018,2.94,2,316
279650,Castle View Apartment: Cosiness In The Old Town,530286,Peter,"Old Town, Princes Street and Leith Street",55.94736204,-3.199534076,Entire home/apt,110,5,27/10/2018,0.96,1,78
286315,"Ideal for short visit or working trip, Marchmont.",1490036,Sitar,Marchmont West,55.93751839,-3.195191548,Private room,35,4,28/07/2018,0.26,1,150
289425,Quirky Old Apartment Holyrood Park,1198626,Sally,"Canongate, Southside and Dumbiedykes",55.94360002,-3.178046917,Entire home/apt,60,6,06/01/2017,0.62,2,12
291287,StayinginScotland,1509791,Naomi,New Town West,55.95764493,-3.206267871,Private room,100,1,,,2,44
303687,Bright King-size/Twin & Breakfast. Free Parking,1563112,Wendy,South Leith,55.96461468,-3.171957764,Private room,95,3,27/05/2016,0.24,2,231
303689,Quiet Single Room in Edinburgh-Wifi,1563155,Carole,Oxgangs,55.90737023,-3.221975466,Private room,120,1,28/05/2017,0.16,1,364
307715,Beside The Castle *with Free Wi Fi*,1583173,Yvonne,"Old Town, Princes Street and Leith Street",55.94901545,-3.196942391,Entire home/apt,108,3,18/09/2018,1.93,1,347
310380,Lovely flat near Portobello Beach,1596537,Justin & Eva !,Portobello,55.95198255,-3.113019939,Entire home/apt,55,4,09/10/2018,1.68,3,0
317080,Lovely Big Room 5 Min from Castle,1510582,Vroni,Tollcross,55.94526664,-3.20050965,Private room,40,3,21/08/2018,0.92,2,0
317676,Meadows Apartment A (castle views),1602978,Duncan,Marchmont West,55.93876952,-3.199423365,Entire home/apt,125,2,24/08/2018,0.18,3,53
318552,Modern Vintage Home - Central South,1113616,Cecilia And Adam,Newington and Dalkeith Road,55.93646684,-3.176805124,Entire home/apt,100,2,18/11/2018,4.18,1,18
321335,Central Edinburgh With Castle View,1645877,Karen,Meadows and Southside,55.94168337,-3.2032461,Private room,50,1,03/11/2018,0.84,3,340
327159,Central Old Town Castle Apt,1672688,Maggie,"Old Town, Princes Street and Leith Street",55.9462083,-3.197488755,Entire home/apt,150,3,21/08/2018,0.88,2,343
327161,"Central Old Town Apt, parking, Wifi",1672688,Maggie,"Old Town, Princes Street and Leith Street",55.94860149,-3.183423442,Entire home/apt,220,2,21/06/2018,0.74,2,347
335733,VieAmhor Grassmarket Studio,1708860,Amanda +,"Old Town, Princes Street and Leith Street",55.94859139,-3.193456883,Entire home/apt,86,3,30/10/2018,2.49,9,281
336457,VieAmhor 5* Quirky @ Royal Mile,1708860,Amanda +,"Old Town, Princes Street and Leith Street",55.9477897,-3.194072748,Entire home/apt,100,3,02/11/2018,3.03,9,301
